Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
38,Deron Williams\willide01,2010-11,26,TOT,NBA,7.3,3.0,2.8,65,65,37.9,6.6,15.0,5.0,10.1,1.6,4.9,5.4,6.3,0.6,3.4,4.0,10.3,1.2,0.2,3.5,2.9,20.1,.439,.491,.331,.493,.845,.566
39,Wesley Matthews\matthwe02,2010-11,24,POR,NBA,7.2,2.1,1.1,82,69,33.6,5.4,11.9,3.5,7.3,1.9,4.6,3.2,3.8,0.6,2.6,3.1,2.0,1.2,0.1,1.7,2.4,15.9,.449,.476,.407,.528,.844,.582
40,Beno Udrih\udrihbe01,2010-11,28,SAC,NBA,7.2,2.1,1.0,79,64,34.6,5.2,10.4,4.4,8.1,0.8,2.3,2.5,2.9,0.5,2.8,3.4,4.9,1.2,0.1,1.8,2.3,13.7,.500,.540,.357,.539,.864,.587
41,James Harden\hardeja01,2010-11,21,OKC,NBA,7.1,2.4,2.3,82,5,26.7,3.6,8.3,2.3,4.4,1.4,4.0,3.5,4.2,0.5,2.6,3.1,2.1,1.1,0.3,1.3,2.5,12.2,.436,.514,.349,.518,.843,.598
42,Kyle Lowry\lowryky01,2010-11,24,HOU,NBA,7.0,3.0,2.7,75,71,34.2,4.6,10.8,2.9,6.2,1.7,4.6,2.6,3.3,1.2,2.9,4.1,6.7,1.4,0.3,2.1,2.8,13.5,.426,.464,.376,.506,.765,.550
43,Andre Miller\millean02,2010-11,34,POR,NBA,7.0,2.1,1.1,81,81,32.7,4.8,10.4,4.7,10.0,0.0,0.5,3.1,3.6,1.2,2.5,3.7,7.0,1.4,0.1,2.4,2.1,12.7,.460,.476,.108,.462,.853,.529
44,Danny Granger\grangda01,2010-11,27,IND,NBA,6.9,2.5,1.6,79,79,35.0,6.8,15.9,4.8,10.8,2.0,5.2,5.0,5.9,1.1,4.3,5.4,2.6,1.1,0.8,2.6,2.7,20.5,.425,.443,.386,.487,.848,.554
45,Jason Richardson\richaja01,2010-11,30,TOT,NBA,6.9,2.8,2.2,80,80,33.9,5.9,13.2,3.5,7.2,2.4,6.0,1.5,2.0,0.8,3.3,4.1,1.8,1.2,0.2,1.2,2.0,15.6,.447,.490,.395,.536,.730,.555
46,Hedo Türkoğlu\turkohe01,2010-11,31,TOT,NBA,6.8,3.0,2.7,81,72,31.4,4.0,8.9,2.4,5.1,1.6,3.8,1.3,1.9,0.6,3.8,4.4,4.2,0.9,0.4,1.6,3.0,10.8,.446,.473,.410,.534,.679,.555
47,Andre Iguodala\iguodan01,2010-11,27,PHI,NBA,6.7,3.2,3.2,67,67,36.9,5.0,11.3,4.1,8.6,0.9,2.7,3.1,4.5,0.9,4.9,5.8,6.3,1.5,0.6,2.1,1.6,14.1,.445,.479,.337,.486,.693,.530
