Rk,Player,Season,Age,Tm,Lg,WS,VORP,BPM,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
482,Patrick Ewing\ewingpa01,1987-88,25,NYK,NBA,8.1,4.1,4.4,82,82,31.0,8.0,14.4,8.0,14.4,0.0,0.0,4.2,5.8,3.0,5.3,8.2,1.5,1.3,3.0,3.5,4.0,20.2,.555,.556,.000,.555,.716,.594
483,Anfernee Hardaway\hardaan01,1996-97,25,ORL,NBA,8.1,3.8,4.7,59,59,37.6,7.1,15.9,5.7,11.4,1.4,4.5,4.8,5.8,1.4,3.1,4.5,5.6,1.6,0.6,2.5,2.1,20.5,.447,.499,.318,.493,.820,.554
484,Jason Kidd\kiddja01,1998-99,25,PHO,NBA,8.1,4.1,5.8,50,50,41.2,6.2,14.0,5.3,11.5,0.9,2.5,3.6,4.8,1.7,5.0,6.8,10.8,2.3,0.4,3.0,2.2,16.9,.444,.461,.366,.476,.757,.527
485,Dikembe Mutombo\mutomdi01,2000-01,34,TOT,NBA,8.1,2.2,1.4,75,75,34.5,3.6,7.4,3.6,7.4,0.0,0.0,2.8,3.9,4.1,9.4,13.5,1.0,0.4,2.7,1.9,2.7,10.0,.484,.484,,.484,.725,.547
486,Rod Strickland\stricro02,1997-98,31,WAS,NBA,8.1,3.5,2.6,76,76,39.7,6.4,14.9,6.3,14.2,0.2,0.6,4.7,6.5,1.5,3.9,5.3,10.5,1.7,0.3,3.5,2.4,17.8,.434,.442,.250,.439,.726,.501
487,Andrew Bynum\bynuman01,2011-12,24,LAL,NBA,8.0,2.0,1.8,60,60,35.2,7.4,13.3,7.4,13.2,0.0,0.1,3.9,5.6,3.2,8.6,11.8,1.4,0.5,1.9,2.5,1.7,18.7,.558,.560,.200,.558,.692,.594
488,Blake Griffin\griffbl01,2018-19,29,DET,NBA,8.0,4.4,4.6,75,75,35.0,8.3,17.9,5.7,10.9,2.5,7.0,5.5,7.3,1.3,6.2,7.5,5.4,0.7,0.4,3.4,2.7,24.5,.462,.525,.362,.532,.753,.581
489,Dwight Howard\howardw01,2013-14,28,HOU,NBA,8.0,2.4,1.9,71,71,33.7,6.7,11.3,6.6,11.2,0.0,0.1,4.9,9.0,3.3,8.9,12.2,1.8,0.8,1.8,3.2,3.4,18.3,.591,.594,.286,.593,.547,.600
490,Shaquille O'Neal\onealsh01,1996-97,24,LAL,NBA,8.0,4.0,6.3,51,51,38.1,10.8,19.4,10.8,19.4,0.0,0.1,4.5,9.4,3.8,8.7,12.5,3.1,0.9,2.9,2.9,3.5,26.2,.557,.559,.000,.557,.484,.556
491,Mitch Richmond\richmmi01,1994-95,29,SAC,NBA,8.0,3.0,1.8,82,82,38.7,8.1,18.3,6.2,13.1,1.9,5.2,4.6,5.4,0.8,3.5,4.4,3.8,1.1,0.4,2.9,2.8,22.8,.446,.477,.368,.498,.843,.551
492,Latrell Sprewell\sprewla01,1993-94,23,GSW,NBA,8.0,3.6,2.0,82,82,43.1,7.5,17.3,5.8,12.5,1.7,4.8,4.3,5.6,1.0,3.9,4.9,4.7,2.2,0.9,2.8,1.9,21.0,.433,.460,.361,.482,.774,.532
493,Amar'e Stoudemire\stoudam01,2010-11,28,NYK,NBA,8.0,1.9,0.7,78,78,36.8,9.5,19.0,9.4,18.7,0.1,0.3,6.1,7.7,2.5,5.6,8.2,2.6,0.9,1.9,3.2,3.5,25.3,.502,.503,.435,.505,.792,.565
494,Klay Thompson\thompkl01,2015-16,25,GSW,NBA,8.0,1.8,0.7,80,80,33.3,8.1,17.3,4.7,9.2,3.5,8.1,2.4,2.8,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,.470,.510,.425,.569,.873,.597
495,Metta World Peace\artesro01,2003-04,24,IND,NBA,8.0,4.2,4.2,73,71,37.2,6.4,15.2,5.4,11.9,1.0,3.3,4.4,6.0,1.4,3.9,5.3,3.7,2.1,0.7,2.8,2.7,18.3,.421,.452,.310,.455,.733,.511
496,Carmelo Anthony\anthoca01,2009-10,25,DEN,NBA,7.9,2.3,1.4,69,69,38.2,10.0,21.8,9.1,19.1,0.9,2.7,7.4,8.9,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2,.458,.478,.316,.478,.830,.548
497,Alonzo Mourning\mournal01,1998-99,28,MIA,NBA,7.9,3.0,4.8,46,46,38.1,7.0,13.8,7.0,13.7,0.0,0.0,6.0,9.2,3.6,7.4,11.0,1.6,0.7,3.9,3.0,3.5,20.1,.511,.513,.000,.511,.652,.563
498,Mitch Richmond\richmmi01,1997-98,32,SAC,NBA,7.9,2.8,2.3,70,70,36.7,7.8,17.4,5.9,12.7,1.9,4.8,5.8,6.7,0.7,2.6,3.3,4.0,1.3,0.2,2.6,2.2,23.2,.445,.466,.389,.498,.864,.569
499,Russell Westbrook\westbru01,2011-12,23,OKC,NBA,7.9,3.0,3.2,66,66,35.3,8.8,19.2,7.8,16.2,0.9,3.0,5.2,6.3,1.5,3.1,4.6,5.5,1.7,0.3,3.6,2.2,23.6,.457,.482,.316,.481,.823,.538
500,Al Jefferson\jeffeal01,2013-14,29,CHA,NBA,7.8,2.5,1.8,73,73,35.0,9.6,18.8,9.5,18.6,0.0,0.2,2.6,3.8,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8,.509,.512,.200,.510,.690,.532
501,Shaquille O'Neal\onealsh01,2008-09,36,PHO,NBA,7.8,2.3,2.0,75,75,30.0,6.8,11.2,6.8,11.2,0.0,0.0,4.1,6.9,2.5,5.9,8.4,1.7,0.7,1.4,2.2,3.4,17.8,.609,.610,.000,.609,.595,.623
502,Terry Cummings\cummite01,1988-89,27,MIL,NBA,7.7,2.6,1.7,80,78,35.3,9.1,19.5,9.0,19.4,0.1,0.2,4.5,5.8,3.5,4.6,8.1,2.5,1.3,0.9,2.5,3.3,22.9,.467,.467,.467,.469,.787,.518
503,Dwight Howard\howardw01,2011-12,26,ORL,NBA,7.7,3.0,3.8,54,54,38.3,7.7,13.4,7.7,13.3,0.0,0.1,5.2,10.6,3.7,10.8,14.5,1.9,1.5,2.1,3.2,2.9,20.6,.573,.579,.000,.573,.491,.569
